divergence,t-1,t-2,t-3,distance_from_high,distance_t-1,distance_t-2,distance_t-3,break_new
1,0.5,0,-0.05,0,0,0,-0.6,1
2,1,0.5,0,0,0,0,0,1
3,2,1,0.5,0,0,0,0,1
1.5,3,2,1,-0.4,0,0,0,0
0.75,1.5,3,2,-0.6,-0.4,0,0,0
0,0.75,1.5,3,-1.2,-0.6,-0.4,0,0
-0.65,0,0.75,1.5,-1.8,-1.2,-0.6,-0.4,0
-1.2,-0.65,0,0.75,-2.5,-1.8,-1.2,-0.6,0
-0.85,-1.2,-0.65,0,-5,-2.5,-1.8,-1.2,0
-0.83,-0.85,-1.2,-0.65,-10,-5,-2.5,-1.8,0
-5,-0.83,-0.85,-1.2,-8,-10,-5,-2.5,0
-7,-5,-0.83,-0.85,-14,-8,-10,-5,0
-8,-7,-5,-0.83,-11,-14,-8,-10,0
-9,-8,-7,-5,-5,-11,-14,-8,0
-4,-9,-8,-7,-7,-5,-11,-14,0
-2,-4,-9,-8,-3,-7,-5,-11,0
-1,-2,-4,-9,-1,-3,-7,-5,1
0,-1,-2,-4,-0.5,-1,-3,-7,1
7,0,-1,-2,0,-0.5,-1,-3,1
5,7,0,-1,0,0,-0.5,-1,1
9,5,7,0,0,0,0,-0.5,1
10,9,5,7,0,0,0,0,1
11,10,9,5,0,0,0,0,1
9,11,10,9,0,0,0,0,1
12,9,11,10,0,0,0,0,1
