divergence,t-1,t-2,t-3,distance_from_high,distance_t-1,distance_t-2,distance_t-3,trend?,,,,
5,2,-1,-5,0,-0.5,-1,-2,1,,,,
7,5,2,-1,0,0,-0.5,-1,1,,,,
8,7,5,2,0,0,0,-0.5,1,,,,
10,8,7,5,0,0,0,0,1,,,,
6,10,8,7,-1,0,0,0,1,,,,
4,6,10,8,-3,-1,0,0,0,,,,
-1,4,6,10,-5,-3,-1,0,0,,,,
0,-1,4,6,-4.5,-5,-3,-1,0,,,,
1,0,-1,4,-3,-4.5,-5,-3,0,,,,
-7,1,0,-1,-6,-3,-4.5,-5,0,,,,
-3.5,-7,1,0,-4,-6,-3,-4.5,0,,,,<- target to predict
-2,-3.5,-7,1,-3.5,-4,-6,-3,0,,,,<- features used to predict
-4,-2,-3.5,-7,-5.5,-3.5,-4,-6,0,,,,
0,-4,-2,-3.5,-3,-5.5,-3.5,-4,0,,,,
1,0,-4,-2,-2,-3,-5.5,-3.5,0,,,,
-2,1,0,-4,-3,-2,-3,-5.5,0,,,,
-1,-2,1,0,-2,-3,-2,-3,0,,,,
4,-1,-2,1,-0.5,-2,-3,-2,0,,,,
7,4,-1,-2,-0.25,-0.5,-2,-3,1,,,,
8,7,4,-1,-0.1,-0.25,-0.5,-2,1,,,,
12,8,7,4,0,-0.1,-0.25,-0.5,1,,,,
14,12,8,7,0,0,-0.1,-0.25,1,,,,
10,14,12,8,0,0,0,-0.1,1,,,,
12,10,14,12,0,0,0,0,1,,,,
